ID,Rating,MainCategory,Plateform,ActingPrice,Offer,NumberOfRatings,NumberOfReviews,5Star,4Star,3Star,2Star,1Star,Fulfilled,Combo,Category
4211,4.3,Women,Flipkart,999,61.96,350.0,30.0,213.0,71.0,33.0,13,20,1,False,sneaker
2631,4.3,Men,Flipkart,1999,60.03,55.0,11.0,30.0,17.0,6.0,1,1,1,False,sandal
17504,3.6,Women,Flipkart,999,57.06,91.0,14.0,38.0,20.0,9.0,13,14,0,False,boot
12827,4.0,Men,Flipkart,999,60.16,14825.0,1945.0,7950.0,2968.0,1848.0,755,1304,0,False,sandal
5607,3.6,Women,Flipkart,349,25.79,211.0,32.0,84.0,47.0,28.0,17,35,0,False,other
1106,4.0,Women,Flipkart,999,68.37,289.0,42.0,150.0,63.0,29.0,18,29,1,False,sandal
10686,4.1,Women,Flipkart,2999,43.01,10146.0,1398.0,5463.0,2577.0,1003.0,348,755,1,False,shoe
13425,4.3,Women,Flipkart,999,45.05,54.0,9.0,32.0,13.0,5.0,2,2,0,False,boot
14723,3.7,Men,Flipkart,499,54.11,336.0,48.0,160.0,46.0,49.0,30,51,0,False,slipper
10063,4.0,Men,Flipkart,699,10.01,175.0,26.0,87.0,45.0,17.0,11,15,1,False,other
12372,4.6,Men,Flipkart,2799,45.02,23.0,2.0,16.0,4.0,3.0,0,0,1,False,sandal
19486,4.2,Men,Flipkart,999,52.55,50.0,5.0,33.0,5.0,6.0,2,4,0,False,mojaris
3312,4.1,Women,Flipkart,999,25.03,375.0,50.0,177.0,107.0,53.0,16,22,1,False,sandal
4986,4.0,Women,Flipkart,499,30.06,1573.0,203.0,785.0,340.0,226.0,92,130,1,False,sneaker
5576,3.6,Women,Flipkart,999,70.07,2079.0,272.0,836.0,396.0,314.0,194,339,1,True,slipper
180,3.9,Men,Flipkart,1624,79.6,134.0,20.0,6.0,49.0,20.0,5,16,1,False,other
5097,4.1,Women,Flipkart,499,40.28,229.0,26.0,118.0,55.0,28.0,14,14,1,False,sandal
3610,3.7,Women,Flipkart,999,50.05,175.0,33.0,82.0,26.0,24.0,16,27,1,False,bellie
7568,4.3,Women,Flipkart,4995,22.66,37.0,5.0,24.0,6.0,2.0,1,3,1,False,shoe
4262,3.6,Women,Flipkart,249,14.46,4892.0,611.0,2446.0,1223.0,466.0,281,476,1,False,slipper
9638,4.7,Women,Amazon,599,0.0,4.0,2.0,0.0,0.0,0.0,30,70,1,False,shoe
3704,3.8,Women,Flipkart,1299,78.52,392.0,51.0,208.0,49.0,47.0,22,66,0,False,juti
16664,4.0,Women,Flipkart,399,67.17,375.0,56.0,196.0,69.0,43.0,26,38,0,False,sandal
9235,3.8,Women,Flipkart,999,37.04,4.0,1.0,2.0,1.0,0.0,0,1,1,False,boot
5162,4.2,Men,Flipkart,1299,23.86,5228.0,807.0,3011.0,1188.0,512.0,180,337,1,False,shoe
18320,3.9,Women,Flipkart,999,50.05,476.0,65.0,218.0,119.0,63.0,33,42,1,False,sandal
5390,3.8,Women,Flipkart,499,50.1,4.0,1.0,1.0,2.0,0.0,1,0,0,False,sandal
7609,4.3,Women,Flipkart,1299,53.43,415.0,61.0,253.0,89.0,48.0,10,15,0,False,sandal
17816,3.7,Men,Flipkart,510,11.57,15280.0,2056.0,7208.0,2435.0,2149.0,1160,2328,1,False,other
9188,4.0,Women,Flipkart,1999,80.04,1689.0,332.0,894.0,341.0,198.0,84,172,0,False,boot
12331,4.2,Women,Flipkart,499,14.83,282.0,50.0,169.0,57.0,24.0,9,23,0,False,sandal
11142,3.9,Women,Flipkart,1199,74.65,111.0,20.0,60.0,17.0,12.0,6,16,0,False,bellie
10098,3.5,Men,Flipkart,999,76.18,63.0,7.0,34.0,1.0,5.0,10,13,0,False,other
18632,4.3,Women,Flipkart,999,60.26,2347.0,390.0,1529.0,376.0,188.0,85,169,0,False,boot
10045,4.0,Men,Flipkart,499,29.86,698.0,82.0,367.0,134.0,92.0,39,66,0,False,mojaris
10957,4.0,Women,Flipkart,1990,50.0,23.0,5.0,11.0,6.0,3.0,0,3,1,False,sneaker
5582,3.7,Men,Flipkart,600,16.83,13.0,1.0,7.0,2.0,0.0,1,3,0,False,mojaris
13874,4.0,Men,Flipkart,1799,48.64,118.0,9.0,61.0,22.0,17.0,8,10,1,False,other
1038,2.3,Men,Flipkart,1599,64.42,3.0,0.0,1.0,0.0,0.0,0,2,1,False,other
13909,4.2,Women,Flipkart,6495,39.95,13.0,1.0,7.0,4.0,1.0,0,1,1,False,shoe
2157,3.7,Men,Flipkart,1999,75.04,25.0,6.0,12.0,4.0,3.0,2,4,0,False,mojaris
5904,3.8,Women,Flipkart,998,55.71,2687.0,405.0,1154.0,596.0,447.0,203,273,1,True,shoe
15464,4.4,Men,Flipkart,699,30.04,248.0,23.0,154.0,53.0,29.0,5,7,1,False,flip
3489,3.8,Men,Flipkart,999,40.04,311.0,47.0,170.0,30.0,40.0,24,47,1,False,sneaker
2767,4.3,Men,Flipkart,4999,40.01,84.0,10.0,46.0,27.0,5.0,1,5,1,False,shoe
353,4.1,Women,Flipkart,858,38.04,620.0,102.0,245.0,37.0,38.0,31,57,1,False,sandal
20302,3.4,Women,Amazon,488,0.0,5.0,2.0,23.0,23.0,0.0,0,54,0,False,shoe
9390,3.8,Women,Flipkart,499,44.09,309.0,55.0,126.0,84.0,37.0,18,42,0,False,sandal
4235,4.0,Women,Flipkart,499,60.12,53.0,7.0,31.0,9.0,6.0,4,5,0,False,juti
964,4.8,Women,Flipkart,1400,56.2,19.0,3.0,9.0,1.0,3.0,1,1,0,False,sandal
9457,4.1,Women,Flipkart,899,44.49,2132.0,284.0,1114.0,495.0,266.0,101,153,1,False,sandal
15101,3.8,Women,Flipkart,599,20.03,20.0,1.0,8.0,5.0,5.0,0,2,1,False,other
14137,4.2,Women,Flipkart,999,55.06,620.0,91.0,347.0,132.0,74.0,27,40,1,False,sandal
1852,4.3,Men,Flipkart,3995,29.99,977.0,144.0,608.0,216.0,59.0,29,65,1,False,shoe
17065,4.1,Women,Flipkart,999,54.65,181.0,27.0,101.0,40.0,14.0,11,15,1,False,sandal
11300,4.2,Men,Flipkart,2699,50.02,15844.0,2084.0,8679.0,4049.0,1497.0,538,1081,1,False,shoe
17670,4.0,Women,Flipkart,798,28.7,2185.0,346.0,1047.0,535.0,293.0,117,193,1,True,shoe
10829,4.0,Women,Flipkart,999,59.66,2797.0,388.0,1361.0,672.0,391.0,154,219,0,False,sandal
4059,4.1,Men,Flipkart,599,17.03,31709.0,4593.0,16870.0,7710.0,3679.0,1298,2152,1,False,shoe
16618,4.2,Men,Flipkart,3799,43.01,900.0,112.0,450.0,225.0,114.0,38,73,1,False,shoe
12868,3.6,Women,Flipkart,499,66.33,41.0,3.0,20.0,5.0,3.0,7,6,0,False,juti
12816,4.3,Women,Flipkart,999,34.43,18.0,6.0,13.0,2.0,1.0,0,2,0,False,sneaker
8009,3.8,Women,Flipkart,599,33.39,8050.0,1191.0,3528.0,1847.0,1161.0,539,979,0,False,sandal
18376,4.0,Women,Flipkart,799,25.28,36.0,4.0,19.0,8.0,4.0,3,4,1,False,sandal
9467,4.1,Women,Flipkart,625,30.08,114.0,10.0,62.0,26.0,10.0,4,12,0,False,sandal
13659,4.6,Women,Flipkart,999,43.04,145.0,20.0,107.0,25.0,6.0,1,5,0,False,other
13535,3.6,Men,Flipkart,999,60.06,1638.0,153.0,804.0,179.0,176.0,166,313,1,False,shoe
19619,4.3,Women,Flipkart,999,66.77,81.0,22.0,47.0,18.0,6.0,4,4,1,False,bellie
9718,4.8,Women,Flipkart,2397,81.27,12.0,1.0,10.0,1.0,1.0,0,0,1,False,flip
6921,3.4,Women,Flipkart,999,57.96,18.0,2.0,8.0,2.0,1.0,4,3,0,False,bellie
16318,4.4,Women,Flipkart,4199,70.02,74.0,4.0,49.0,15.0,5.0,1,4,1,False,shoe
16430,4.2,Men,Flipkart,3299,45.01,646.0,74.0,369.0,157.0,53.0,23,44,1,False,shoe
2083,4.3,Women,Flipkart,999,50.05,2539.0,429.0,1619.0,470.0,205.0,84,161,1,False,boot
1868,4.0,Women,Flipkart,999,50.05,54.0,8.0,31.0,9.0,4.0,4,7,1,False,boot
4698,4.3,Women,Flipkart,999,40.04,12.0,4.0,7.0,2.0,2.0,1,0,1,False,shoe
8129,4.1,Women,Amazon,397,18.89,205.0,77.0,9.0,4.0,8.0,23,56,0,False,sneaker
1823,4.4,Women,Flipkart,1199,50.04,91.0,16.0,54.0,22.0,10.0,3,2,1,False,slipper
2868,4.0,Women,Flipkart,499,22.04,7414.0,1245.0,3753.0,1639.0,984.0,378,660,1,False,sandal
596,4.4,Women,Flipkart,2092,50.03,8.0,2.0,5.0,2.0,3.0,7,2,0,False,juti
15055,3.6,Women,Flipkart,499,23.25,102.0,19.0,38.0,22.0,17.0,9,16,1,False,sandal
2844,3.8,Men,Flipkart,999,30.03,46.0,4.0,22.0,7.0,8.0,3,6,0,False,shoe
18675,3.9,Men,Flipkart,999,59.46,2432.0,329.0,1268.0,416.0,293.0,146,309,0,False,other
6296,4.1,Men,Flipkart,499,48.1,3594.0,500.0,1945.0,717.0,453.0,175,304,1,False,other
20667,4.1,Women,Flipkart,999,42.84,760.0,119.0,401.0,187.0,87.0,38,46,1,False,shoe
17392,4.2,Women,Flipkart,899,55.62,1526.0,262.0,933.0,263.0,142.0,66,122,0,False,boot
5364,4.2,Men,Flipkart,2299,54.46,1215.0,176.0,651.0,345.0,113.0,36,70,1,False,shoe
5192,3.2,Men,Amazon,399,12.53,44.0,12.0,18.0,15.0,21.0,18,28,0,False,shoe
7377,4.1,Women,Flipkart,1699,58.86,4324.0,637.0,2393.0,893.0,489.0,219,332,1,False,shoe
15103,4.1,Men,Flipkart,599,5.01,3142.0,482.0,1573.0,905.0,374.0,130,160,1,False,sandal
16701,3.9,Men,Flipkart,1399,69.55,3569.0,611.0,1954.0,567.0,386.0,205,457,1,False,shoe
15107,4.3,Women,Flipkart,1299,58.43,553.0,74.0,338.0,117.0,48.0,11,39,0,False,boot
149,4.0,Women,Flipkart,400,50.1,403.0,58.0,163.0,86.0,47.0,19,40,0,False,bellie
15117,3.8,Women,Flipkart,999,56.26,24.0,2.0,12.0,6.0,5.0,1,0,0,False,sandal
6809,3.4,Men,Flipkart,499,20.04,44.0,3.0,16.0,6.0,10.0,4,8,0,False,mojaris
10023,4.6,Men,Flipkart,499,26.05,15.0,1.0,10.0,4.0,1.0,0,0,1,False,sneaker
19637,4.2,Women,Flipkart,499,55.91,26.0,2.0,17.0,3.0,2.0,1,3,0,False,juti
6355,4.1,Women,Flipkart,599,50.08,41.0,9.0,19.0,13.0,5.0,3,1,1,False,flip
14442,4.4,Men,Flipkart,4499,40.01,156.0,19.0,101.0,32.0,9.0,5,9,1,False,shoe
20616,4.3,Women,Flipkart,2999,58.89,353.0,48.0,209.0,95.0,26.0,11,13,1,False,shoe
13567,5.0,Men,Flipkart,749,40.05,3.0,1.0,3.0,0.0,0.0,0,0,0,False,juti
16893,4.8,Men,Flipkart,1499,62.04,19.0,1.0,16.0,2.0,1.0,0,0,0,False,mojaris
17626,4.0,Women,Flipkart,499,33.67,716.0,101.0,376.0,144.0,95.0,40,61,1,False,slipper
14481,4.1,Men,Flipkart,1899,11.06,654.0,102.0,355.0,147.0,62.0,34,56,1,False,sneaker
19646,3.4,Men,Flipkart,999,71.57,7.0,3.0,1.0,3.0,2.0,0,1,0,False,sandal
17088,4.3,Women,Flipkart,4499,54.99,47.0,7.0,27.0,11.0,6.0,2,1,1,False,sandal
9753,4.1,Women,Flipkart,999,52.05,133.0,10.0,71.0,33.0,14.0,5,10,1,False,sandal
14110,3.7,Men,Flipkart,2199,78.44,3691.0,427.0,1577.0,813.0,535.0,264,502,0,False,sandal
16550,4.1,Women,Flipkart,999,52.45,788.0,122.0,427.0,150.0,102.0,50,59,0,False,boot
5997,4.0,Women,Flipkart,3999,73.77,26.0,4.0,10.0,12.0,1.0,0,3,1,False,shoe
5705,4.3,Women,Flipkart,999,50.05,180.0,34.0,109.0,42.0,17.0,6,6,1,False,boot
9483,3.9,Women,Flipkart,999,40.04,49.0,7.0,26.0,7.0,6.0,4,6,1,False,sandal
6184,3.8,Women,Flipkart,999,53.05,38.0,7.0,14.0,13.0,3.0,5,3,0,False,boot
6365,3.8,Women,Flipkart,549,18.21,6.0,0.0,3.0,1.0,0.0,2,0,0,False,sandal
1357,4.0,Women,Flipkart,699,71.53,50.0,5.0,24.0,13.0,7.0,1,4,0,False,juti
6043,4.2,Women,Flipkart,999,50.05,89.0,22.0,47.0,18.0,12.0,4,5,0,False,boot
1689,4.4,Women,Flipkart,1299,45.8,333.0,59.0,205.0,80.0,29.0,5,14,1,False,sandal
974,4.1,Men,Flipkart,4022,50.01,1387.0,151.0,1225.0,522.0,28.0,116,69,1,False,shoe
5663,4.4,Women,Flipkart,999,52.55,100.0,21.0,59.0,25.0,7.0,1,4,0,False,sandal
19909,4.1,Women,Flipkart,499,36.07,1162.0,133.0,604.0,297.0,128.0,52,81,1,False,slipper
4105,3.6,Men,Flipkart,999,50.05,7.0,1.0,4.0,0.0,1.0,0,2,0,False,shoe
15177,4.1,Women,Flipkart,625,20.64,368.0,68.0,201.0,79.0,51.0,11,26,1,False,other
5202,3.9,Women,Flipkart,850,64.82,23.0,2.0,11.0,6.0,2.0,1,3,1,False,sandal
8203,3.8,Women,Flipkart,499,43.89,3203.0,412.0,1476.0,614.0,480.0,224,409,1,False,bellie
2937,3.9,Men,Amazon,599,16.69,571.0,290.0,12.0,4.0,12.0,26,46,0,False,sneaker
14569,4.2,Women,Flipkart,799,70.84,7576.0,1248.0,4314.0,1799.0,794.0,268,401,0,False,sandal
19987,4.1,Women,Flipkart,799,14.64,265.0,30.0,137.0,69.0,31.0,14,16,1,False,sandal
13033,4.2,Women,Flipkart,499,24.05,485.0,66.0,261.0,118.0,58.0,15,33,1,False,bellie
4766,4.0,Women,Flipkart,1499,66.71,156.0,28.0,78.0,37.0,21.0,7,13,0,False,sandal
20029,4.1,Men,Flipkart,309,2.27,1117.0,165.0,599.0,271.0,125.0,43,79,1,False,sandal
17737,3.7,Women,Flipkart,499,51.1,62.0,10.0,30.0,10.0,5.0,7,10,0,False,juti
17245,4.0,Women,Flipkart,749,46.73,246.0,28.0,128.0,53.0,32.0,6,27,1,False,sneaker
6807,4.2,Women,Flipkart,999,45.05,195.0,32.0,116.0,25.0,31.0,7,12,1,False,sneaker
13024,4.0,Men,Flipkart,850,61.18,27.0,3.0,17.0,2.0,2.0,2,4,0,False,mojaris
11452,4.1,Women,Flipkart,279,20.43,741.0,69.0,434.0,134.0,73.0,32,66,1,False,slipper
10887,4.2,Women,Flipkart,999,52.45,571.0,99.0,348.0,99.0,51.0,30,43,1,False,sandal
12043,4.0,Men,Flipkart,999,63.96,151.0,10.0,81.0,26.0,22.0,9,13,0,False,other
10156,3.8,Women,Flipkart,999,55.06,20.0,4.0,5.0,9.0,4.0,0,2,1,False,boot
10667,3.5,Men,Flipkart,1299,84.68,2578.0,315.0,1121.0,365.0,349.0,262,481,1,False,flip
8645,4.1,Men,Flipkart,999,33.53,11594.0,1845.0,5888.0,2964.0,1358.0,510,874,0,False,shoe
12002,4.5,Women,Flipkart,3999,40.31,115.0,14.0,74.0,23.0,5.0,1,6,1,False,shoe
12044,4.3,Women,Flipkart,699,15.74,21.0,3.0,13.0,4.0,3.0,0,1,1,False,sandal
7046,4.2,Men,Flipkart,5895,70.01,985.0,141.0,522.0,259.0,104.0,32,68,1,False,other
18365,4.0,Men,Flipkart,999,76.18,259.0,27.0,150.0,38.0,25.0,18,28,0,False,other
701,3.9,Men,Flipkart,802,43.04,1380.0,236.0,851.0,357.0,103.0,101,213,1,False,sneaker
1737,4.4,Women,Flipkart,3699,71.64,143.0,25.0,87.0,38.0,11.0,2,5,1,False,boot
7982,4.0,Men,Flipkart,799,48.06,8.0,0.0,5.0,1.0,0.0,1,1,0,True,shoe
9491,3.5,Men,Flipkart,999,60.06,2832.0,380.0,1162.0,458.0,396.0,233,583,0,False,sandal
13561,4.1,Men,Flipkart,1299,30.02,5740.0,625.0,3171.0,1274.0,535.0,232,528,1,False,slipper
4557,4.1,Women,Flipkart,2290,55.85,249.0,48.0,122.0,67.0,31.0,10,19,0,False,boot
2927,3.8,Men,Flipkart,2899,67.26,3012.0,458.0,1442.0,624.0,381.0,177,388,1,False,other
3060,4.7,Women,Flipkart,1199,50.04,3.0,0.0,2.0,1.0,0.0,0,0,1,False,slipper
2932,3.9,Women,Flipkart,499,40.08,96.0,17.0,53.0,15.0,7.0,6,15,0,False,shoe
17357,4.4,Men,Flipkart,999,52.55,48.0,6.0,24.0,12.0,7.0,1,4,0,False,sandal
4126,4.1,Women,Flipkart,999,40.04,622.0,102.0,330.0,148.0,74.0,26,42,1,False,sandal
15843,4.0,Men,Flipkart,999,65.07,86.0,25.0,43.0,19.0,11.0,3,10,1,False,boot
16207,4.2,Men,Flipkart,2999,49.98,5117.0,681.0,2814.0,1346.0,480.0,199,278,1,False,shoe
18304,3.8,Women,Flipkart,499,71.74,177.0,23.0,71.0,53.0,22.0,14,17,0,False,slipper
18549,4.4,Women,Flipkart,1490,40.0,226.0,28.0,141.0,53.0,19.0,4,9,1,False,sandal
11570,4.5,Women,Flipkart,8999,56.85,6.0,0.0,4.0,1.0,1.0,0,0,1,False,shoe
9975,4.2,Women,Flipkart,799,16.9,21.0,7.0,14.0,2.0,1.0,3,1,1,False,shoe
11047,4.6,Women,Flipkart,5299,49.99,101.0,15.0,76.0,16.0,4.0,1,4,1,False,shoe
19697,4.0,Women,Flipkart,999,70.07,81.0,10.0,41.0,21.0,8.0,3,8,1,False,other
3669,4.2,Women,Flipkart,999,53.25,2233.0,395.0,1333.0,403.0,231.0,97,157,1,False,boot
4935,3.8,Women,Flipkart,499,50.9,10733.0,1546.0,4769.0,2205.0,1697.0,815,1247,0,False,flip
15692,3.9,Men,Flipkart,999,68.57,133.0,15.0,59.0,31.0,24.0,6,13,0,False,sandal
19348,4.5,Women,Amazon,454,5.51,37.0,19.0,7.0,0.0,7.0,14,72,0,False,sneaker
6910,3.7,Women,Flipkart,533,14.63,135.0,20.0,58.0,26.0,23.0,8,20,0,False,sandal
7139,4.0,Men,Flipkart,999,50.05,60107.0,7501.0,33445.0,9311.0,6841.0,3551,6959,1,False,boot
16858,3.8,Men,Flipkart,799,50.44,33.0,4.0,16.0,6.0,4.0,1,6,0,False,other
18419,3.8,Women,Flipkart,499,20.04,228.0,24.0,100.0,52.0,38.0,9,29,0,False,bellie
13646,4.1,Women,Flipkart,999,55.06,954.0,138.0,496.0,234.0,113.0,56,57,1,False,sandal
14152,4.2,Women,Flipkart,999,54.05,972.0,144.0,527.0,232.0,122.0,38,53,0,False,shoe
2319,3.8,Men,Flipkart,799,64.46,163.0,20.0,83.0,25.0,23.0,11,21,0,False,shoe
10455,3.3,Men,Flipkart,999,30.03,6.0,1.0,2.0,1.0,1.0,1,1,0,False,mojaris
8719,4.1,Women,Flipkart,999,54.15,4721.0,770.0,2545.0,1002.0,522.0,234,418,0,False,boot
19824,4.3,Women,Flipkart,3999,49.81,367.0,47.0,206.0,108.0,30.0,6,18,1,False,shoe
6487,4.4,Women,Flipkart,799,64.71,67.0,7.0,44.0,11.0,6.0,2,3,0,False,sandal
8770,4.1,Men,Flipkart,375,6.93,21054.0,2532.0,11523.0,4995.0,2145.0,894,1497,1,False,flip
9123,4.1,Women,Flipkart,998,34.97,346.0,55.0,182.0,82.0,35.0,19,28,1,True,sneaker
20861,4.0,Men,Amazon,1199,33.69,228.0,126.0,10.0,3.0,12.0,25,51,1,False,sneaker
