title,Rating,maincateg,platform,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,combo,category
crocs Unisex's Clogs,4.7,Women,Amazon,1607,8.0,4.0,0.0,0.0,0.0,30,70.0,0,False,other
GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,4299,215.0,14.0,142.0,43.0,15.0,3,12.0,1,False,shoe
flip-flops slipper for men Flip Flops,4.0,Men,Flipkart,599,3615.0,299.0,2155.0,441.0,352.0,206,461.0,1,False,flip
Flip Flops,4.1,Women,Flipkart,399,33.0,6.0,17.0,9.0,2.0,4,1.0,0,False,flip
Boots For Women  (Brown),4.2,Women,Flipkart,999,10.0,0.0,6.0,2.0,1.0,0,1.0,1,False,boot
Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,3880,216.0,31.0,176.0,44.0,21.0,8,1.0,1,False,shoe
Women Black Flats Sandal,4.1,Women,Flipkart,1695,14.0,0.0,7.0,4.0,1.0,1,1.0,1,False,sandal
Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,999,21.0,4.0,13.0,2.0,0.0,0,6.0,0,False,shoe
Jutis For Women  (Multicolor),4.1,Women,Flipkart,999,180.0,23.0,100.0,32.0,22.0,10,16.0,0,False,juti
Fila Men's Bryant Sneakers,3.7,Men,Amazon,1597,79.0,40.0,15.0,11.0,10.0,20,44.0,1,False,sneaker
Jutis For Women  (Pink),3.9,Women,Flipkart,499,369.0,46.0,197.0,50.0,54.0,25,43.0,0,False,juti
"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,999,11780.0,1748.0,6343.0,2501.0,1268.0,644,1024.0,1,False,sneaker
Walking Shoes For Men  (Grey),4.0,Men,Flipkart,999,3180.0,475.0,1596.0,705.0,380.0,162,337.0,1,False,shoe
Canvas Shoes For Men  (Red),4.0,Men,Flipkart,999,1695.0,266.0,891.0,359.0,204.0,65,176.0,0,False,shoe
FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,999,18.0,3.0,11.0,5.0,0.0,1,1.0,1,False,shoe
"Men Brown, Orange Sports Sandal",4.1,Men,Flipkart,999,26640.0,3667.0,14148.0,6414.0,3207.0,1113,2094.0,1,False,sandal
Women Black Heels Sandal,4.0,Women,Flipkart,1499,550.0,103.0,283.0,120.0,72.0,27,48.0,0,False,sandal
"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,999,5.0,0.0,3.0,1.0,1.0,0,0.0,0,False,boot
Slippers,3.6,Men,Flipkart,349,16140.0,1926.0,6538.0,2868.0,2580.0,1442,2712.0,0,False,slipper
Women Yellow Flats Sandal,4.5,Women,Flipkart,1499,69.0,5.0,42.0,21.0,5.0,2,0.0,1,False,sandal
Women Red Heels Sandal,4.2,Women,Flipkart,1699,1399.0,263.0,884.0,240.0,119.0,36,120.0,0,False,sandal
Boots For Women  (Black),4.2,Women,Flipkart,999,366.0,84.0,223.0,67.0,39.0,11,26.0,1,False,boot
Party Wear For Men  (Tan),3.7,Men,Flipkart,799,19.0,1.0,9.0,3.0,2.0,2,3.0,0,False,other
"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,559,290.0,48.0,157.0,69.0,35.0,14,15.0,1,False,bellie
Shoes for Women Sneakers For Women  (Blue),4.0,Women,Flipkart,499,4147.0,688.0,2175.0,864.0,538.0,204,366.0,1,False,sneaker
Canvas Shoes For Men  (Blue),4.0,Men,Flipkart,1799,60.0,11.0,29.0,13.0,9.0,6,3.0,0,False,shoe
Jutis Bellies For Women  (Brown),3.4,Women,Flipkart,999,26.0,4.0,9.0,7.0,1.0,3,6.0,0,False,juti
Flip Flops,4.0,Women,Flipkart,499,656.0,80.0,368.0,105.0,75.0,40,68.0,0,False,flip
DD66_4 Jutis For Women  (White),4.5,Women,Flipkart,2500,13.0,1.0,11.0,0.0,1.0,0,1.0,0,False,juti
Slippers,4.3,Women,Flipkart,999,96.0,15.0,61.0,20.0,8.0,4,3.0,1,False,slipper
"Men Tan, Beige, Yellow Sandal",4.2,Men,Flipkart,999,19.0,2.0,12.0,2.0,3.0,0,2.0,0,False,sandal
169 Smart Sky Blue Lace-Ups Casuals for Men Sneakers For Men  (Blue),4.0,Men,Flipkart,499,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126.0,1,False,sneaker
Bellies For Women  (Tan),4.0,Women,Flipkart,599,85.0,10.0,46.0,19.0,7.0,3,10.0,1,False,bellie
Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Shoes Boots For Men (OliveGreen) Boots For Men  (Multicolor),4.3,Men,Flipkart,1399,4881.0,943.0,2862.0,1159.0,445.0,169,246.0,1,False,boot
Flip Flops,3.4,Women,Flipkart,499,307.0,33.0,117.0,50.0,38.0,32,70.0,0,False,flip
SYTHETIC Leather Punjabi Jutti Black Mojaris For Men  (Black),3.9,Men,Flipkart,999,19.0,1.0,10.0,4.0,1.0,1,3.0,0,False,mojaris
RC3532 003 Lace Up For Men  (Brown),4.1,Men,Flipkart,4299,219.0,27.0,112.0,61.0,16.0,14,16.0,1,False,other
Kolhapuri Juttis Slip On For Men  (Tan),4.1,Men,Flipkart,1999,199.0,28.0,105.0,52.0,18.0,9,15.0,1,False,other
Flip Flops,4.1,Men,Flipkart,890,27.0,3.0,14.0,7.0,2.0,4,0.0,0,False,flip
Slippers,3.6,Men,Flipkart,1299,85.0,10.0,41.0,13.0,6.0,7,18.0,0,False,slipper
Slides,3.9,Men,Flipkart,1500,0.0,0.0,48.0,24.0,10.0,5,9.0,1,False,other
Men's Formal Leather Shoes Slip On For Men  (White),4.1,Men,Flipkart,1999,14.0,1.0,8.0,2.0,2.0,1,1.0,1,False,shoe
Men Black Casual Sandal,3.9,Men,Flipkart,499,192.0,37.0,103.0,31.0,23.0,14,21.0,0,False,sandal
Women Red Heels Sandal,4.1,Women,Flipkart,999,654.0,104.0,369.0,125.0,69.0,32,59.0,0,False,sandal
"Sneakers For Men  (Yellow, White)",4.1,Men,Flipkart,1014,214.0,41.0,150.0,48.0,30.0,17,3.0,1,False,sneaker
Women Copper Flats Sandal,4.1,Men,Flipkart,999,0.0,27.0,84.0,42.0,22.0,5,15.0,1,False,sandal
GO WALK 5 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,5299,12.0,1.0,9.0,2.0,1.0,0,0.0,1,False,shoe
Stylish Combo Pack of 2 Shoes Sneakers For Women  (Multicolor),3.8,Women,Flipkart,998,66.0,13.0,33.0,9.0,11.0,4,9.0,1,True,sneaker
Mojaris Jutis For Men  (Brown),4.3,Men,Flipkart,499,12.0,2.0,8.0,2.0,1.0,0,1.0,0,False,juti
"Women's/Ladies/Female/Girls Trendy Fashionable Lightweight Comfortable Partywear, Casual wear Lace-Up Shoes Sneakers For Women  (White)",4.3,Women,Flipkart,999,350.0,30.0,213.0,71.0,33.0,13,20.0,1,False,sneaker
Men Brown Casual Sandal,4.3,Men,Flipkart,1999,55.0,11.0,30.0,17.0,6.0,1,1.0,1,False,sandal
Ankle Length & High Ankle Length Boots For Women  (Tan),3.6,Women,Flipkart,999,91.0,14.0,38.0,20.0,9.0,13,14.0,0,False,boot
Men Orange Sandal,4.0,Men,Flipkart,999,14825.0,1945.0,7950.0,2968.0,1848.0,755,1304.0,0,False,sandal
Slides,3.6,Women,Flipkart,349,211.0,32.0,84.0,47.0,28.0,17,35.0,0,False,other
Women Beige Flats Sandal,4.0,Women,Flipkart,999,289.0,42.0,150.0,63.0,29.0,18,29.0,1,False,sandal
Trenzo II IDP Running Shoes For Women  (Grey),4.1,Women,Flipkart,2999,10146.0,1398.0,5463.0,2577.0,1003.0,348,755.0,1,False,shoe
Fashionable Boots for Womens Boots For Women  (Black),4.3,Women,Flipkart,999,54.0,9.0,32.0,13.0,5.0,2,2.0,0,False,boot
Slippers,3.7,Men,Flipkart,499,336.0,48.0,160.0,46.0,49.0,30,51.0,0,False,slipper
Slip On For Men  (Brown),4.0,Men,Flipkart,699,175.0,26.0,87.0,45.0,17.0,11,15.0,1,False,other
Men Green Sports Sandal,4.6,Men,Flipkart,2799,23.0,2.0,16.0,4.0,3.0,0,0.0,1,False,sandal
Mojaris For Men  (Blue),4.2,Men,Flipkart,999,50.0,5.0,33.0,5.0,6.0,2,4.0,0,False,mojaris
Women Black Flats Sandal,4.1,Women,Flipkart,999,375.0,50.0,177.0,107.0,53.0,16,22.0,1,False,sandal
Girls Stylish Cut Work Design Sneakers For Women  (White),4.0,Women,Flipkart,499,1573.0,203.0,785.0,340.0,226.0,92,130.0,1,False,sneaker
Combo Pack Of 2 Pairs Of Women Slippers Slippers,3.6,Women,Flipkart,999,2079.0,272.0,836.0,396.0,314.0,194,339.0,1,True,slipper
Derby For Men  (Brown),3.9,Men,Flipkart,1624,134.0,20.0,6.0,49.0,20.0,5,16.0,1,False,other
Women Pink Bellies Sandal,4.1,Women,Flipkart,499,229.0,26.0,118.0,55.0,28.0,14,14.0,1,False,sandal
Bellies For Women  (Tan),3.7,Women,Flipkart,999,175.0,33.0,82.0,26.0,24.0,16,27.0,1,False,bellie
Court Vision LowShoe Casuals For Women  (White),4.3,Women,Flipkart,4995,37.0,5.0,24.0,6.0,2.0,1,3.0,1,False,shoe
Slippers,3.6,Women,Flipkart,249,0.0,0.0,2446.0,1223.0,466.0,281,476.0,1,False,slipper
ZAPATOZ Women White Solid PU Medium-Top Sports Shoes,4.7,Women,Amazon,599,4.0,2.0,0.0,0.0,0.0,30,70.0,1,False,shoe
Jutis For Women  (Gold),3.8,Women,Flipkart,1299,392.0,51.0,208.0,49.0,47.0,22,66.0,0,False,juti
Women Blue Wedges Sandal,4.0,Women,Flipkart,399,375.0,56.0,196.0,69.0,43.0,26,38.0,0,False,sandal
"807 Boot Shoes For , Womens wear Boots For Women  (Grey)",3.8,Women,Flipkart,999,4.0,1.0,2.0,1.0,0.0,0,1.0,1,False,boot
"SC0620G Canvas Shoes For Men  (Olive, Orange)",4.2,Men,Flipkart,1299,5228.0,807.0,3011.0,1188.0,512.0,180,337.0,1,False,shoe
Women Black Wedges Sandal,3.9,Women,Flipkart,999,476.0,65.0,218.0,119.0,63.0,33,42.0,1,False,sandal
Women Multicolor Sports Sandal,3.8,Women,Flipkart,499,4.0,1.0,1.0,2.0,0.0,1,0.0,0,False,sandal
Women Grey Heels Sandal,4.3,Women,Flipkart,1299,415.0,61.0,253.0,89.0,48.0,10,15.0,0,False,sandal
Loafers For Men  (Tan),3.7,Men,Flipkart,510,15280.0,2056.0,7208.0,2435.0,2149.0,1160,2328.0,1,False,other
Boots For Women  (Grey),4.0,Women,Flipkart,1999,1689.0,332.0,894.0,341.0,198.0,84,172.0,0,False,boot
Women Black Heels Sandal,4.2,Women,Flipkart,499,282.0,50.0,169.0,57.0,24.0,9,23.0,0,False,sandal
Women Black Bellies Bellies For Women  (Black),3.9,Women,Flipkart,1199,111.0,20.0,60.0,17.0,12.0,6,16.0,0,False,bellie
Slides,3.5,Men,Flipkart,999,63.0,7.0,34.0,1.0,5.0,10,13.0,0,False,other
Boots For Women  (Black),4.3,Women,Flipkart,999,2347.0,390.0,1529.0,376.0,188.0,85,169.0,0,False,boot
Jalsa Nagra Jutti Mojaris For Men Mojaris For Men  (Black),4.0,Men,Flipkart,499,698.0,82.0,367.0,134.0,92.0,39,66.0,0,False,mojaris
Slip On Sneakers For Women  (Pink),4.0,Women,Flipkart,1990,23.0,5.0,11.0,6.0,3.0,0,3.0,1,False,sneaker
Mojaris For Men  (Black),3.7,Men,Flipkart,600,13.0,1.0,7.0,2.0,0.0,1,3.0,0,False,mojaris
Slides,4.0,Men,Flipkart,1799,118.0,9.0,61.0,22.0,17.0,8,10.0,1,False,other
Espadrilles For Men  (White),2.3,Men,Flipkart,1599,3.0,0.0,1.0,0.0,0.0,0,2.0,1,False,other
Running Shoes For Women  (Purple),4.2,Women,Flipkart,6495,13.0,1.0,7.0,4.0,1.0,0,1.0,1,False,shoe
JALSA Mojaris For Men  (Black),3.7,Men,Flipkart,1999,25.0,6.0,12.0,4.0,3.0,2,4.0,0,False,mojaris
Combo Pack of Casual Shoes Loafers For Women  (Multicolor),3.8,Women,Flipkart,998,2687.0,405.0,1154.0,596.0,447.0,203,273.0,1,True,shoe
Epic Toss V1 IDP Flip Flops,4.4,Men,Flipkart,699,248.0,23.0,154.0,53.0,29.0,5,7.0,1,False,flip
Casual Sneakers Shoes For Men Sneakers For Men  (Green),3.8,Men,Flipkart,999,311.0,47.0,170.0,30.0,40.0,24,47.0,1,False,sneaker
Ace Slip-On Running Shoes For Men  (Black),4.3,Men,Flipkart,4999,0.0,0.0,46.0,27.0,5.0,1,5.0,1,False,shoe
Women Black Heels Sandal,4.1,Women,Flipkart,858,620.0,102.0,245.0,37.0,38.0,31,57.0,1,False,sandal
X Xiota Women Laceup Casual Shoe,3.4,Women,Amazon,488,5.0,2.0,23.0,23.0,0.0,0,54.0,0,False,shoe
Women Black Bellies Sandal,3.8,Women,Flipkart,499,309.0,55.0,126.0,84.0,37.0,18,42.0,0,False,sandal
Jutis For Women (Pink) Casuals For Women  (Pink),4.0,Women,Flipkart,499,53.0,7.0,31.0,9.0,6.0,4,5.0,0,False,juti
"Women Red, Black Sports Sandal",4.8,Women,Flipkart,1400,19.0,3.0,9.0,1.0,3.0,1,1.0,0,False,sandal
Women Black Flats Sandal,4.1,Women,Flipkart,899,2132.0,284.0,1114.0,495.0,266.0,101,153.0,1,False,sandal
Slides,3.8,Women,Flipkart,599,20.0,1.0,8.0,5.0,5.0,0,2.0,1,False,other
Women Grey Wedges Sandal,4.2,Women,Flipkart,999,620.0,91.0,347.0,132.0,74.0,27,40.0,1,False,sandal
Downshifter 10 Running Shoes For Men  (Blue),4.3,Men,Flipkart,3995,977.0,144.0,608.0,216.0,59.0,29,65.0,1,False,shoe
Women Black Wedges Sandal,4.1,Women,Flipkart,999,181.0,27.0,101.0,40.0,14.0,11,15.0,1,False,sandal
Running Shoes For Men  (White),4.2,Men,Flipkart,2699,15844.0,2084.0,8679.0,4049.0,1497.0,538,1081.0,1,False,shoe
Women Casual & Running Shoes Combo Pack of 2 Casuals For Women  (Multicolor),4.0,Women,Flipkart,798,2185.0,346.0,1047.0,535.0,293.0,117,193.0,1,True,shoe
Women Yellow Heels Sandal,4.0,Women,Flipkart,999,2797.0,388.0,1361.0,672.0,391.0,154,219.0,0,False,sandal
"Walking Shoes,Gym Shoes,Knit Sports Shoes,Training Shoes,Sports Shoes, Running Shoes,Casual Shoes Running Shoes For Men  (Green, Grey)",4.1,Men,Flipkart,599,31709.0,4593.0,16870.0,7710.0,3679.0,1298,2152.0,1,False,shoe
FUZOR B Running Shoes For Men  (Black),4.2,Men,Flipkart,3799,0.0,0.0,450.0,225.0,114.0,38,73.0,1,False,shoe
Jutis For Women  (Bronze),3.6,Women,Flipkart,499,41.0,3.0,20.0,5.0,3.0,7,6.0,0,False,juti
Girls Stylish Casual Sports Shoe Sneakers For Women Sneakers For Women  (Pink),4.3,Women,Flipkart,999,18.0,6.0,13.0,2.0,1.0,0,2.0,0,False,sneaker
Women Pink Heels Sandal,3.8,Women,Flipkart,599,8050.0,1191.0,3528.0,1847.0,1161.0,539,979.0,0,False,sandal
Women Multicolor Wedges Sandal,4.0,Women,Flipkart,799,36.0,4.0,19.0,8.0,4.0,3,4.0,1,False,sandal
Women Multicolor Sports Sandal,4.1,Women,Flipkart,625,114.0,10.0,62.0,26.0,10.0,4,12.0,0,False,sandal
Slides,4.6,Women,Flipkart,999,145.0,20.0,107.0,25.0,6.0,1,5.0,0,False,other
Running Shoes For Men  (Black),3.6,Men,Flipkart,999,1638.0,153.0,804.0,179.0,176.0,166,313.0,1,False,shoe
Bellies For Women  (Pink),4.3,Women,Flipkart,999,81.0,22.0,47.0,18.0,6.0,4,4.0,1,False,bellie
Flip Flops,4.8,Women,Flipkart,2397,12.0,1.0,10.0,1.0,1.0,0,0.0,1,False,flip
Latest Collection For Women And Girls Bellies For Women  (Multicolor),3.4,Women,Flipkart,999,18.0,2.0,8.0,2.0,1.0,4,3.0,0,False,bellie
Walking Shoes For Women  (White),4.4,Women,Flipkart,4199,74.0,4.0,49.0,15.0,5.0,1,4.0,1,False,shoe
Unifactor M Running Shoes For Men  (White),4.2,Men,Flipkart,3299,646.0,74.0,369.0,157.0,53.0,23,44.0,1,False,shoe
High Ankle Denim Boots For Womens And girls Boots For Women  (Blue),4.3,Women,Flipkart,999,2539.0,429.0,1619.0,470.0,205.0,84,161.0,1,False,boot
Stylish Boots For Women  (Grey),4.0,Women,Flipkart,999,54.0,8.0,31.0,9.0,4.0,4,7.0,1,False,boot
"LDS66 Walking Shoes For Women  (Green, Black)",4.3,Women,Flipkart,999,12.0,4.0,7.0,2.0,2.0,1,0.0,1,False,shoe
ELISE Women's Sneakers,4.1,Women,Amazon,397,205.0,77.0,9.0,4.0,8.0,23,56.0,0,False,sneaker
Slippers,4.4,Women,Flipkart,1199,91.0,16.0,54.0,22.0,10.0,3,2.0,1,False,slipper
Women Brown Wedges Sandal,4.0,Women,Flipkart,499,7414.0,1245.0,3753.0,1639.0,984.0,378,660.0,1,False,sandal
Ladies Multi Women Punjabi Jutti Casual Jutis For Women  (gold) Jutis For Women  (Gold),4.4,Women,Flipkart,2092,8.0,2.0,5.0,2.0,3.0,7,2.0,0,False,juti
Women Black Heels Sandal,3.6,Women,Flipkart,499,102.0,19.0,38.0,22.0,17.0,9,16.0,1,False,sandal
Partywear white ethnic mojaris/formal shoes for men Mojaris For Men  (White),3.8,Men,Flipkart,999,46.0,4.0,22.0,7.0,8.0,3,6.0,0,False,shoe
Loafers For Men  (Brown),3.9,Men,Flipkart,999,2432.0,329.0,1268.0,416.0,293.0,146,309.0,0,False,other
Casuals For Men  (Black),4.1,Men,Flipkart,499,3594.0,500.0,1945.0,717.0,453.0,175,304.0,1,False,casual
Running Shoes For Women  (Pink),4.1,Women,Flipkart,999,760.0,119.0,401.0,187.0,87.0,38,46.0,1,False,shoe
"New Tredy Stylish Girls Comfortable ,Lightweight, Fashionble ,Now Look ,Outdoor ,Ankle Length ,High heel, Walking, Running. Boot ,Shoe For Women /Girls/Ladies Boots For Women  (White)",4.2,Women,Flipkart,899,1526.0,262.0,933.0,263.0,142.0,66,122.0,0,False,boot
TREAD LITE LUX LP Running Shoes For Men  (Black),4.2,Men,Flipkart,2299,1215.0,176.0,651.0,345.0,113.0,36,70.0,1,False,shoe
SK LIGHTER Men's Training Shoes,3.2,Men,Amazon,399,44.0,12.0,18.0,15.0,21.0,18,28.0,0,False,shoe
Walking Shoes For Women  (White),4.1,Women,Flipkart,1699,4324.0,637.0,2393.0,893.0,489.0,219,332.0,1,False,shoe
Men Multicolor Sandal,4.1,Men,Flipkart,599,3142.0,482.0,1573.0,905.0,374.0,130,160.0,1,False,sandal
Colourblocked Trending Multicolor Ultralight canvas Sport/ Training Lace-up Morning / Evening walk Dating Running Shoes For Men  (Multicolor),3.9,Men,Flipkart,1399,3569.0,611.0,1954.0,567.0,386.0,205,457.0,1,False,shoe
Smart Buckle Boots For Women  (Black),4.3,Women,Flipkart,1299,553.0,74.0,338.0,117.0,48.0,11,39.0,0,False,boot
"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",4.0,Women,Flipkart,400,403.0,58.0,163.0,86.0,47.0,19,40.0,0,False,bellie
Women Off White Wedges Sandal,3.8,Women,Flipkart,999,0.0,2.0,12.0,6.0,5.0,1,0.0,0,False,sandal
Mens Ethnic Golden Fabric Jutti Mojaris For Men  (Gold),3.4,Men,Flipkart,499,44.0,3.0,16.0,6.0,10.0,4,8.0,0,False,mojaris
Super 445 Fashion Sneakers For Men  (Navy),4.6,Men,Flipkart,499,15.0,1.0,10.0,4.0,1.0,0,0.0,1,False,sneaker
Women's Rajasthani Jutis For Women  (Multicolor),4.2,Women,Flipkart,499,26.0,2.0,17.0,3.0,2.0,1,3.0,0,False,juti
Flip Flops,4.1,Women,Flipkart,599,41.0,9.0,19.0,13.0,5.0,3,1.0,1,False,flip
Strider v1 Slip-On Running Shoes For Men  (Grey),4.4,Men,Flipkart,4499,156.0,19.0,101.0,32.0,9.0,5,9.0,1,False,shoe
Tropical Run Lp Running Shoe For Women  (Blue),4.3,Women,Flipkart,2999,353.0,48.0,209.0,95.0,26.0,11,13.0,1,False,shoe
Jutis For Men  (Brown),5.0,Men,Flipkart,749,3.0,1.0,3.0,0.0,0.0,0,0.0,0,False,juti
Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,1499,19.0,1.0,16.0,2.0,1.0,0,0.0,0,False,mojaris
Slippers,4.0,Women,Flipkart,499,716.0,101.0,376.0,144.0,95.0,40,61.0,1,False,slipper
EXPLORE Sneakers For Men  (Navy),4.1,Men,Flipkart,1899,654.0,102.0,355.0,147.0,62.0,34,56.0,1,False,sneaker
"Men Black, Grey Casual Sandal",3.4,Men,Flipkart,999,7.0,3.0,1.0,3.0,2.0,0,1.0,0,False,sandal
Women Black Wedges Sandal,4.3,Women,Flipkart,4499,47.0,7.0,27.0,11.0,6.0,2,1.0,1,False,sandal
Women Grey Flats Sandal,4.1,Women,Flipkart,999,133.0,10.0,71.0,33.0,14.0,5,10.0,1,False,sandal
Men Black Sandal,3.7,Men,Flipkart,2199,3691.0,427.0,1577.0,813.0,535.0,264,502.0,0,False,sandal
Perfect Stylish Casual Shoes Boots For Women   Boots For Women  (White),4.1,Women,Flipkart,999,788.0,122.0,427.0,150.0,102.0,50,59.0,0,False,boot
Cruxston Wn s IDP Training & Gym Shoes For Women  (Purple),4.0,Women,Flipkart,3999,26.0,4.0,10.0,12.0,1.0,0,3.0,1,False,shoe
Boots For Women  (Blue),4.3,Women,Flipkart,999,180.0,34.0,109.0,42.0,17.0,6,6.0,1,False,boot
Women Red Wedges Sandal,3.9,Women,Flipkart,999,49.0,7.0,26.0,7.0,6.0,4,6.0,1,False,sandal
Boots For Women  (Black),3.8,Women,Flipkart,999,38.0,7.0,14.0,13.0,3.0,5,3.0,0,False,boot
Women Beige Wedges Sandal,3.8,Women,Flipkart,549,6.0,0.0,3.0,1.0,0.0,2,0.0,0,False,sandal
Jutis For Women  (Pink),4.0,Women,Flipkart,699,50.0,5.0,24.0,13.0,7.0,1,4.0,0,False,juti
Stylish Casual Partywear High Ankle Girls Boots Boots For Women  (Black),4.2,Women,Flipkart,999,89.0,22.0,47.0,18.0,12.0,4,5.0,0,False,boot
Women Red Heels Sandal,4.4,Women,Flipkart,1299,333.0,59.0,205.0,80.0,29.0,5,14.0,1,False,sandal
Victriox M Running Shoes For Men  (Blue),4.1,Men,Flipkart,4022,1387.0,151.0,1225.0,522.0,28.0,116,69.0,1,False,shoe
Women Beige Bellies Sandal,4.4,Women,Flipkart,999,100.0,21.0,59.0,25.0,7.0,1,4.0,0,False,sandal
Slippers,4.1,Women,Flipkart,499,1162.0,133.0,604.0,297.0,128.0,52,81.0,1,False,slipper
Trendy Look for Jeans and Kurta Pajama /Artificial Leather Ethnic Shoes For Men Ethnic Mule For Men  (Brown),3.6,Men,Flipkart,999,7.0,1.0,4.0,0.0,1.0,0,2.0,0,False,shoe
SL-138 Casuals For Women  (White),4.1,Women,Flipkart,625,368.0,68.0,201.0,79.0,51.0,11,26.0,1,False,casual
Women Tan Heels Sandal,3.9,Women,Flipkart,850,0.0,0.0,11.0,6.0,2.0,1,3.0,1,False,sandal
Bellies For Women  (Black),3.8,Women,Flipkart,499,3203.0,412.0,1476.0,614.0,480.0,224,409.0,1,False,bellie
SPORTSTAR Men Black Sneakers,3.9,Men,Amazon,599,571.0,290.0,12.0,4.0,12.0,26,46.0,0,False,sneaker
Women Pink Bellies Sandal,4.2,Women,Flipkart,799,7576.0,1248.0,4314.0,1799.0,794.0,268,401.0,0,False,sandal
Women Red Wedges Sandal,4.1,Women,Flipkart,799,265.0,30.0,137.0,69.0,31.0,14,16.0,1,False,sandal
