id,title,Rating,maincateg,platform,actprice1,Offer %,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,price1
7609,Women Grey Heels Sandal,4.3,Women,Flipkart,1299,53.43%,415.0,61.0,253.0,89.0,48.0,10,15,0,605
17816,Loafers For Men  (Tan),3.7,Men,Flipkart,510,11.57%,15280.0,2056.0,7208.0,2435.0,2149.0,1160,2328,1,451
9188,Boots For Women  (Grey),4.0,Women,Flipkart,1999,80.04%,1689.0,332.0,894.0,341.0,198.0,84,172,0,399
12331,Women Black Heels Sandal,4.2,Women,Flipkart,499,14.83%,282.0,50.0,169.0,57.0,24.0,9,23,0,425
11142,Women Black Bellies Bellies For Women  (Black),3.9,Women,Flipkart,1199,74.65%,111.0,20.0,60.0,17.0,12.0,6,16,0,304
10098,Slides,3.5,Men,Flipkart,999,76.18%,63.0,7.0,34.0,1.0,5.0,10,13,0,238
18632,Boots For Women  (Black),4.3,Women,Flipkart,999,60.26%,2347.0,390.0,1529.0,376.0,188.0,85,169,0,397
10045,Jalsa Nagra Jutti Mojaris For Men Mojaris For Men  (Black),4.0,Men,Flipkart,499,29.86%,698.0,82.0,367.0,134.0,92.0,39,66,0,350
10957,Slip On Sneakers For Women  (Pink),4.0,Women,Flipkart,1990,50.00%,23.0,5.0,11.0,6.0,3.0,0,3,1,995
5582,Mojaris For Men  (Black),3.7,Men,Flipkart,600,16.83%,13.0,1.0,7.0,2.0,0.0,1,3,0,499
13874,Slides,4.0,Men,Flipkart,1799,48.64%,118.0,9.0,61.0,22.0,17.0,8,10,1,924
1038,Espadrilles For Men  (White),2.3,Men,Flipkart,1599,64.42%,3.0,0.0,1.0,0.0,0.0,0,2,1,569
13909,Running Shoes For Women  (Purple),4.2,Women,Flipkart,6495,39.95%,13.0,1.0,7.0,4.0,1.0,0,1,1,3900
2157,JALSA Mojaris For Men  (Black),3.7,Men,Flipkart,1999,75.04%,25.0,6.0,12.0,4.0,3.0,2,4,0,499
5904,Combo Pack of Casual Shoes Loafers For Women  (Multicolor),3.8,Women,Flipkart,998,55.71%,2687.0,405.0,1154.0,596.0,447.0,203,273,1,442
15464,Epic Toss V1 IDP Flip Flops,4.4,Men,Flipkart,699,30.04%,248.0,23.0,154.0,53.0,29.0,5,7,1,489
3489,Casual Sneakers Shoes For Men Sneakers For Men  (Green),3.8,Men,Flipkart,999,40.04%,311.0,47.0,170.0,30.0,40.0,24,47,1,599
2767,Ace Slip-On Running Shoes For Men  (Black),4.3,Women,Flipkart,4999,40.01%,78.3716049194336,3.0782809257507324,46.0,27.0,5.0,1,5,1,2999
353,Women Black Heels Sandal,4.1,Women,Flipkart,858,38.04%,620.0,102.0,245.0,37.0,38.0,31,57,1,704
20302,X Xiota Women Laceup Casual Shoe,3.4,Women,Amazon,488,0.00%,5.0,2.0,23.0,23.0,0.0,0,54,0,488
9390,Women Black Bellies Sandal,3.8,Women,Flipkart,499,44.09%,309.0,55.0,126.0,84.0,37.0,18,42,0,279
4235,Jutis For Women (Pink) Casuals For Women  (Pink),4.0,Women,Flipkart,499,60.12%,53.0,7.0,31.0,9.0,6.0,4,5,0,199
964,"Women Red, Black Sports Sandal",4.8,Women,Flipkart,1400,56.20%,19.0,3.0,9.0,1.0,3.0,1,1,0,551
9457,Women Black Flats Sandal,4.1,Women,Flipkart,899,44.49%,2132.0,284.0,1114.0,495.0,266.0,101,153,1,499
15101,Slides,3.8,Women,Flipkart,599,20.03%,20.0,1.0,8.0,5.0,5.0,0,2,1,479
14137,Women Grey Wedges Sandal,4.2,Women,Flipkart,999,55.06%,620.0,91.0,347.0,132.0,74.0,27,40,1,449
1852,Downshifter 10 Running Shoes For Men  (Blue),4.3,Men,Flipkart,3995,29.99%,977.0,144.0,608.0,216.0,59.0,29,65,1,2797
17065,Women Black Wedges Sandal,4.1,Women,Flipkart,999,54.65%,181.0,27.0,101.0,40.0,14.0,11,15,1,453
11300,Running Shoes For Men  (White),4.2,Men,Flipkart,2699,50.02%,15844.0,2084.0,8679.0,4049.0,1497.0,538,1081,1,1349
17670,Women Casual & Running Shoes Combo Pack of 2 Casuals For Women  (Multicolor),4.0,Women,Flipkart,798,28.70%,2185.0,346.0,1047.0,535.0,293.0,117,193,1,569
10829,Women Yellow Heels Sandal,4.0,Women,Flipkart,999,59.66%,2797.0,388.0,1361.0,672.0,391.0,154,219,0,403
4059,"Walking Shoes,Gym Shoes,Knit Sports Shoes,Training Shoes,Sports Shoes, Running Shoes,Casual Shoes Running Shoes For Men  (Green, Grey)",4.1,Men,Flipkart,599,17.03%,31709.0,4593.0,16870.0,7710.0,3679.0,1298,2152,1,497
16618,FUZOR B Running Shoes For Men  (Black),4.2,Men,Flipkart,3799,43.01%,153.62460327148438,5.834137916564941,33.98912811279297,9.03758430480957,114.0,38,73,1,2165
12868,Jutis For Women  (Bronze),3.6,Women,Flipkart,499,66.33%,41.0,3.0,20.0,5.0,3.0,7,6,0,168
12816,Girls Stylish Casual Sports Shoe Sneakers For Women Sneakers For Women  (Pink),4.3,Women,Flipkart,999,34.43%,18.0,6.0,13.0,2.0,1.0,0,2,0,655
8009,Women Pink Heels Sandal,3.8,Women,Flipkart,599,33.39%,8050.0,1191.0,3528.0,1847.0,1161.0,539,979,0,399
18376,Women Multicolor Wedges Sandal,4.0,Women,Flipkart,799,25.28%,36.0,4.0,19.0,8.0,4.0,3,4,1,597
9467,Women Multicolor Sports Sandal,4.1,Women,Flipkart,625,30.08%,114.0,10.0,62.0,26.0,10.0,4,12,0,437
13659,Slides,4.6,Women,Flipkart,999,43.04%,145.0,20.0,107.0,25.0,6.0,1,5,0,569
13535,Running Shoes For Men  (Black),3.6,Men,Flipkart,999,60.06%,1638.0,153.0,804.0,179.0,176.0,166,313,1,399
19619,Bellies For Women  (Pink),4.3,Women,Flipkart,999,66.77%,81.0,22.0,47.0,18.0,6.0,4,4,1,332
9718,Flip Flops,4.8,Women,Flipkart,2397,81.27%,12.0,1.0,10.0,1.0,1.0,0,0,1,449
6921,Latest Collection For Women And Girls Bellies For Women  (Multicolor),3.4,Women,Flipkart,999,57.96%,18.0,2.0,8.0,2.0,1.0,4,3,0,420
16318,Walking Shoes For Women  (White),4.4,Women,Flipkart,4199,70.02%,74.0,4.0,49.0,15.0,5.0,1,4,1,1259
16430,Unifactor M Running Shoes For Men  (White),4.2,Men,Flipkart,3299,45.01%,646.0,74.0,369.0,157.0,53.0,23,44,1,1814
2083,High Ankle Denim Boots For Womens And girls Boots For Women  (Blue),4.3,Women,Flipkart,999,50.05%,2539.0,429.0,1619.0,470.0,205.0,84,161,1,499
1868,Stylish Boots For Women  (Grey),4.0,Women,Flipkart,999,50.05%,54.0,8.0,31.0,9.0,4.0,4,7,1,499
4698,"LDS66 Walking Shoes For Women  (Green, Black)",4.3,Women,Flipkart,999,40.04%,12.0,4.0,7.0,2.0,2.0,1,0,1,599
8129,ELISE Women's Sneakers,4.1,Women,Amazon,397,18.89%,205.0,77.0,9.0,4.0,8.0,23,56,0,322
1823,Slippers,4.4,Women,Flipkart,1199,50.04%,91.0,16.0,54.0,22.0,10.0,3,2,1,599
2868,Women Brown Wedges Sandal,4.0,Women,Flipkart,499,22.04%,7414.0,1245.0,3753.0,1639.0,984.0,378,660,1,389
596,Ladies Multi Women Punjabi Jutti Casual Jutis For Women  (gold) Jutis For Women  (Gold),4.4,Women,Flipkart,2092,50.03%,8.0,2.0,5.0,2.0,3.0,7,2,0,1011
15055,Women Black Heels Sandal,3.6,Women,Flipkart,499,23.25%,102.0,19.0,38.0,22.0,17.0,9,16,1,383
2844,Partywear white ethnic mojaris/formal shoes for men Mojaris For Men  (White),3.8,Men,Flipkart,999,30.03%,46.0,4.0,22.0,7.0,8.0,3,6,0,699
18675,Loafers For Men  (Brown),3.9,Men,Flipkart,999,59.46%,2432.0,329.0,1268.0,416.0,293.0,146,309,0,405
6296,Casuals For Men  (Black),4.1,Men,Flipkart,499,48.10%,3594.0,500.0,1945.0,717.0,453.0,175,304,1,259
20667,Running Shoes For Women  (Pink),4.1,Women,Flipkart,999,42.84%,760.0,119.0,401.0,187.0,87.0,38,46,1,571
17392,"New Tredy Stylish Girls Comfortable ,Lightweight, Fashionble ,Now Look ,Outdoor ,Ankle Length ,High heel, Walking, Running. Boot ,Shoe For Women /Girls/Ladies Boots For Women  (White)",4.2,Women,Flipkart,899,55.62%,1526.0,262.0,933.0,263.0,142.0,66,122,0,399
5364,TREAD LITE LUX LP Running Shoes For Men  (Black),4.2,Men,Flipkart,2299,54.46%,1215.0,176.0,651.0,345.0,113.0,36,70,1,1047
5192,SK LIGHTER Men's Training Shoes,3.2,Men,Amazon,399,12.53%,44.0,12.0,18.0,15.0,21.0,18,28,0,349
7377,Walking Shoes For Women  (White),4.1,Women,Flipkart,1699,58.86%,4324.0,637.0,2393.0,893.0,489.0,219,332,1,699
15103,Men Multicolor Sandal,4.1,Men,Flipkart,599,5.01%,3142.0,482.0,1573.0,905.0,374.0,130,160,1,569
16701,Colourblocked Trending Multicolor Ultralight canvas Sport/ Training Lace-up Morning / Evening walk Dating Running Shoes For Men  (Multicolor),3.9,Men,Flipkart,1399,69.55%,3569.0,611.0,1954.0,567.0,386.0,205,457,1,426
15107,Smart Buckle Boots For Women  (Black),4.3,Women,Flipkart,1299,58.43%,553.0,74.0,338.0,117.0,48.0,11,39,0,540
149,"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",4.0,Women,Flipkart,400,50.10%,403.0,58.0,163.0,86.0,47.0,19,40,0,329
15117,Women Off White Wedges Sandal,3.8,Women,Flipkart,999,56.26%,100.26443481445312,2.0,19.03623390197754,4.616528034210205,5.0,1,0,0,437
6809,Mens Ethnic Golden Fabric Jutti Mojaris For Men  (Gold),3.4,Men,Flipkart,499,20.04%,44.0,3.0,16.0,6.0,10.0,4,8,0,399
10023,Super 445 Fashion Sneakers For Men  (Navy),4.6,Men,Flipkart,499,26.05%,15.0,1.0,10.0,4.0,1.0,0,0,1,369
19637,Women's Rajasthani Jutis For Women  (Multicolor),4.2,Women,Flipkart,499,55.91%,26.0,2.0,17.0,3.0,2.0,1,3,0,220
6355,Flip Flops,4.1,Women,Flipkart,599,50.08%,41.0,9.0,19.0,13.0,5.0,3,1,1,299
14442,Strider v1 Slip-On Running Shoes For Men  (Grey),4.4,Men,Flipkart,4499,40.01%,156.0,19.0,101.0,32.0,9.0,5,9,1,2699
20616,Tropical Run Lp Running Shoe For Women  (Blue),4.3,Women,Flipkart,2999,58.89%,353.0,48.0,209.0,95.0,26.0,11,13,1,1233
13567,Jutis For Men  (Brown),5.0,Men,Flipkart,749,40.05%,3.0,1.0,3.0,0.0,0.0,0,0,0,449
16893,Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,1499,62.04%,19.0,1.0,16.0,2.0,1.0,0,0,0,569
17626,Slippers,4.0,Women,Flipkart,499,33.67%,716.0,101.0,376.0,144.0,95.0,40,61,1,331
14481,EXPLORE Sneakers For Men  (Navy),4.1,Men,Flipkart,1899,11.06%,654.0,102.0,355.0,147.0,62.0,34,56,1,1689
19646,"Men Black, Grey Casual Sandal",3.4,Men,Flipkart,999,71.57%,7.0,3.0,1.0,3.0,2.0,0,1,0,284
17088,Women Black Wedges Sandal,4.3,Women,Flipkart,4499,54.99%,47.0,7.0,27.0,11.0,6.0,2,1,1,2025
9753,Women Grey Flats Sandal,4.1,Women,Flipkart,999,52.05%,133.0,10.0,71.0,33.0,14.0,5,10,1,479
14110,Men Black Sandal,3.7,Men,Flipkart,2199,78.44%,3691.0,427.0,1577.0,813.0,535.0,264,502,0,474
16550,Perfect Stylish Casual Shoes Boots For Women   Boots For Women  (White),4.1,Women,Flipkart,999,52.45%,788.0,122.0,427.0,150.0,102.0,50,59,0,475
5997,Cruxston Wn s IDP Training & Gym Shoes For Women  (Purple),4.0,Women,Flipkart,3999,73.77%,26.0,4.0,10.0,12.0,1.0,0,3,1,1049
5705,Boots For Women  (Blue),4.3,Women,Flipkart,999,50.05%,180.0,34.0,109.0,42.0,17.0,6,6,1,499
9483,Women Red Wedges Sandal,3.9,Women,Flipkart,999,40.04%,49.0,7.0,26.0,7.0,6.0,4,6,1,599
6184,Boots For Women  (Black),3.8,Women,Flipkart,999,53.05%,38.0,7.0,14.0,13.0,3.0,5,3,0,469
6365,Women Beige Wedges Sandal,3.8,Women,Flipkart,549,18.21%,6.0,0.0,3.0,1.0,0.0,2,0,0,449
1357,Jutis For Women  (Pink),4.0,Women,Flipkart,699,71.53%,50.0,5.0,24.0,13.0,7.0,1,4,0,199
6043,Stylish Casual Partywear High Ankle Girls Boots Boots For Women  (Black),4.2,Women,Flipkart,999,50.05%,89.0,22.0,47.0,18.0,12.0,4,5,0,499
1689,Women Red Heels Sandal,4.4,Women,Flipkart,1299,45.80%,333.0,59.0,205.0,80.0,29.0,5,14,1,704
974,Victriox M Running Shoes For Men  (Blue),4.1,Men,Flipkart,4022,50.01%,1387.0,151.0,1225.0,522.0,28.0,116,69,1,1904
5663,Women Beige Bellies Sandal,4.4,Women,Flipkart,999,52.55%,100.0,21.0,59.0,25.0,7.0,1,4,0,474
19909,Slippers,4.1,Women,Flipkart,499,36.07%,1162.0,133.0,604.0,297.0,128.0,52,81,1,319
